000207 | fetch | pc=0037 acc=8           z=0 n=0 irq=0 | 0036: st 27
000208 | addr  | pc=0037 acc=8           z=0 n=0 irq=0 | data address <- 27
000209 | mem   | pc=0037 acc=8           z=0 n=0 irq=0 | mem[27] <- acc
000210 | fetch | pc=0038 acc=8           z=0 n=0 irq=0 | 0037: ldi 0
000211 | exec  | pc=0038 acc=0           z=1 n=0 irq=0 | acc <- 0
000212 | fetch | pc=0039 acc=0           z=1 n=0 irq=0 | 0038: st 28
000213 | addr  | pc=0039 acc=0           z=1 n=0 irq=0 | data address <- 28
000214 | mem   | pc=0039 acc=0           z=1 n=0 irq=0 | mem[28] <- acc
000215 | fetch | pc=0040 acc=0           z=1 n=0 irq=0 | 0039: lea 30
000216 | exec  | pc=0040 acc=30          z=0 n=0 irq=0 | acc <- address 30
000217 | fetch | pc=0041 acc=30          z=0 n=0 irq=0 | 0040: st 29
000218 | addr  | pc=0041 acc=30          z=0 n=0 irq=0 | data address <- 29
000219 | mem   | pc=0041 acc=30          z=0 n=0 irq=0 | mem[29] <- acc
000220 | fetch | pc=0042 acc=30          z=0 n=0 irq=0 | 0041: ld 27
000221 | addr  | pc=0042 acc=30          z=0 n=0 irq=0 | data address <- 27
000222 | mem   | pc=0042 acc=8           z=0 n=0 irq=0 | acc <- mem[27]
000223 | fetch | pc=0043 acc=8           z=0 n=0 irq=0 | 0042: jnz 46
000224 | exec  | pc=0046 acc=8           z=0 n=0 irq=0 | jnz taken
000225 | fetch | pc=0047 acc=8           z=0 n=0 irq=0 | 0046: ld 27
000226 | addr  | pc=0047 acc=8           z=0 n=0 irq=0 | data address <- 27
000227 | mem   | pc=0047 acc=8           z=0 n=0 irq=0 | acc <- mem[27]
000228 | fetch | pc=0048 acc=8           z=0 n=0 irq=0 | 0047: jz 61
000229 | exec  | pc=0048 acc=8           z=0 n=0 irq=0 | jz skip
000230 | fetch | pc=0049 acc=8           z=0 n=0 irq=0 | 0048: mod 1
000231 | mem   | pc=0049 acc=8           z=0 n=0 irq=0 | operand <- mem[1]
000232 | exec  | pc=0049 acc=8           z=0 n=0 irq=0 | mod operands ready
000233 | alu   | pc=0049 acc=8           z=0 n=0 irq=0 | acc %= mem[1]
000234 | fetch | pc=0050 acc=8           z=0 n=0 irq=0 | 0049: add 4
000235 | mem   | pc=0050 acc=8           z=0 n=0 irq=0 | operand <- mem[4]
000236 | exec  | pc=0050 acc=56          z=0 n=0 irq=0 | acc += mem[4]
000237 | fetch | pc=0051 acc=56          z=0 n=0 irq=0 | 0050: stx 29
000238 | addr  | pc=0051 acc=56          z=0 n=0 irq=0 | ptr address <- 29
000239 | mem   | pc=0051 acc=56          z=0 n=0 irq=0 | address <- mem[29]
000240 | mem   | pc=0051 acc=56          z=0 n=0 irq=0 | mem[30] <- acc
000241 | fetch | pc=0052 acc=56          z=0 n=0 irq=0 | 0051: ld 29
000242 | addr  | pc=0052 acc=56          z=0 n=0 irq=0 | data address <- 29
